lr-SGD,step,train_meaniou_step,train_bgiou_step,train_penumbraiou_step,train_umbraiou_step,epoch,val_loss,val_meaniou,val_bgiou,val_penumbraiou,val_umbraiou,train_loss,train_meaniou,train_bgiou,train_penumbraiou,train_umbraiou
5e-05,0,,,,,,,,,,,,,,,
,1,0.0010450450091700448,0.0,0.0019386322615148072,0.0011965027659953276,0,,,,,,,,,,
,3,0.0004613060383239275,0.0,0.0009530869427088849,0.00043083117226289764,0,,,,,,,,,,
,5,0.00027314801814519733,0.0,0.0,0.000819444054435592,0,,,,,,,,,,
,5,,,,,0,0.9969260692596436,0.00057329527932272,0.0,0.0009406426802783196,0.0007792431576898408,,,,,
,5,,,,,0,,,,,,0.9966117143630981,0.0006708989081105152,0.0,0.0011190301738493306,0.0008936665504822151
5e-05,6,,,,,,,,,,,,,,,
,7,0.0011453865128849008,0.0,0.0019011406844106464,0.0015350188542440559,1,,,,,,,,,,
,9,0.0007517380100101423,0.0,0.0008058017727639,0.0014494122572665273,1,,,,,,,,,,
,11,0.00017041635843857765,0.0,0.0,0.000511249075315733,1,,,,,,,,,,
,11,,,,,1,0.9966719746589661,0.0006857412327514134,0.0,0.001143110815160091,0.0009141128830941491,,,,,
,11,,,,,1,,,,,,0.9958665370941162,0.0005969480804312995,0.0,0.0007859329728207955,0.001004911268473103
5e-05,12,,,,,,,,,,,,,,,
,13,0.001156591890278026,0.0,0.0026874310915104742,0.0007823445793236043,2,,,,,,,,,,
,15,0.0017590489357077234,0.0,0.004498397830909539,0.0007787489762136304,2,,,,,,,,,,
,17,0.00023701824230511323,0.0,0.0,0.0007110547269153397,2,,,,,,,,,,
,17,,,,,2,0.994959831237793,0.0006206342360626285,0.0,0.0008830888485502625,0.0009788138596376235,,,,,
,17,,,,,2,,,,,,0.9950582981109619,0.0009614967665903088,0.0,0.00203862660944206,0.0008458636903288661
5e-05,18,,,,,,,,,,,,,,,
,19,0.0003546205847446231,0.0,0.0,0.0010638617542338693,3,,,,,,,,,,
,21,0.0013381301643968341,0.0,0.0035195103289977045,0.0004948801641927986,3,,,,,,,,,,
,23,0.0010935763540325348,0.0,0.0024097837219109585,0.0008709453401866458,3,,,,,,,,,,
,23,,,,,3,0.9912388324737549,0.001051877635080744,0.0,0.0021535459883303574,0.0010020869169118749,,,,,
,23,,,,,3,,,,,,0.9928330183029175,0.0009408740143044683,0.0,0.00188040616773223,0.0009422158751811749
5e-05,24,,,,,,,,,,,,,,,
,25,0.0009763796011044986,0.0,0.002478866077671137,0.0004502727256423592,4,,,,,,,,,,
,27,0.0020061494576988073,0.0,0.005199306759098787,0.0008191416139976356,4,,,,,,,,,,
,29,0.0002471067713845053,0.0,0.00012089705615668258,0.0006204232579968333,4,,,,,,,,,,
,29,,,,,4,0.9899886250495911,0.0018854326545874015,0.0,0.004787848770018161,0.0008684491937440436,,,,,
,29,,,,,4,,,,,,0.9911788105964661,0.001002047583808859,0.0,0.002102147553941106,0.000903995197485471
5e-05,30,,,,,,,,,,,,,,,
,31,0.001276819209656619,0.0,0.0028666760656045867,0.0009637815633652712,5,,,,,,,,,,
,33,0.0022198389862063683,0.0,0.005388794869511,0.0012707220891081056,5,,,,,,,,,,
,35,0.0012761286255757167,0.0,0.0029547916871860533,0.000873594189541097,5,,,,,,,,,,
,35,,,,,5,0.9890890121459961,0.001848440011141455,0.0,0.004732725187884808,0.0008125948455395575,,,,,
,35,,,,,5,,,,,,0.9895608425140381,0.001611880276606496,0.0,0.003915891399278526,0.0009197494305409613
5e-05,36,,,,,,,,,,,,,,,
,37,0.001950975275679714,0.0,0.004736234116288025,0.0011166917107511168,6,,,,,,,,,,
,39,0.0026140144958176703,0.0,0.007238418530351438,0.0006036249571015739,6,,,,,,,,,,
,41,0.0033862308131916794,0.0,0.009283379908113485,0.0008753125314615539,6,,,,,,,,,,
